"latitude","longitude","count"
"39.5566","-76.2757","1"
"39.9854","-76.2823","16"
"36.8490","-76.2883","53"
"36.8681","-76.2980","10"
"36.8352","-76.3018","4"
"40.0453","-76.3124","2"
"36.9430","-76.3161","1"
"39.4552","-76.3165","35"
"40.0266","-76.3241","93"
"40.0608","-76.3381","66"
"37.0458","-76.3863","20"
"39.4922","-76.3909","62"
"37.6900","-76.4113","11"
"36.8284","-76.4126","34"
"41.0084","-76.4231","5"
"37.0618","-76.4235","140"
"36.8725","-76.4348","42"
"40.3423","-76.4545","18"
"38.2675","-76.4592","15"
"39.3707","-76.4646","153"
"37.1103","-76.4683","17"
"37.0856","-76.4741","93"
"42.4840","-76.4917","84"
"37.2739","-76.4967","9"
"42.4389","-76.4973","36"
"39.2979","-76.5092","48"
"43.4557","-76.5126","21"
"38.3113","-76.5271","46"
"42.9631","-76.5366","4"
"38.9749","-76.5425","11"
"38.9882","-76.5457","95"
"40.3204","-76.5704","52"
"39.1357","-76.5846","11"
"38.5441","-76.5915","12"
"39.4026","-76.6005","183"
"39.2835","-76.6013","41"
"39.1389","-76.6056","24"
"39.3636","-76.6099","52"
"42.9310","-76.6136","13"
"39.3092","-76.6163","261"
"39.4994","-76.6561","32"
"39.2052","-76.6777","1"
"39.0368","-76.6784","94"
"39.9333","-76.6826","1"
"39.9415","-76.6934","35"
"39.2465","-76.6937","12"
"39.1620","-76.7078","404"
"37.2885","-76.7249","51"
"39.3116","-76.7294","24"
"38.9509","-76.7396","16"
"37.2791","-76.7413","60"
"34.7015","-76.7528","9"
"39.9714","-76.7717","47"
"39.4052","-76.7888","136"
"40.3017","-76.8201","15"
"39.1778","-76.8219","127"
"41.2376","-76.8272","10"
"40.3030","-76.8353","161"
"38.9013","-76.8480","7"
"40.8252","-76.8507","30"
"39.0928","-76.8558","21"
"39.2170","-76.8635","90"
"38.6749","-76.8715","14"
"42.1603","-76.8740","43"
"39.0014","-76.8760","15"
"40.2711","-76.8913","19"
"34.8560","-76.8931","8"
"39.0001","-76.9082","13"
"38.6201","-76.9282","11"
"39.0458","-76.9376","19"
"40.2272","-76.9394","87"
"38.8359","-76.9449","1"
"38.9686","-76.9541","38"
"40.2357","-76.9692","26"
"38.8060","-76.9801","17"
"39.5797","-76.9842","40"
"39.8227","-76.9896","65"
"38.8817","-76.9953","1"
"38.9100","-76.9962","50"
"42.8566","-76.9971","11"
"38.9221","-76.9977","84"
"41.2401","-77.0066","34"
"38.9182","-77.0170","127"
"38.8990","-77.0207","236"
"38.8886","-77.0241","1"
"38.9965","-77.0254","173"
"38.8963","-77.0266","244"
"38.9966","-77.0297","69"
"38.8374","-77.0481","98"
"34.6624","-77.0499","3"
"39.0353","-77.0517","35"
"42.1435","-77.0552","5"
"38.9027","-77.0627","132"
"38.8024","-77.0705","101"
"38.9662","-77.0715","17"
"35.1183","-77.0765","14"
"35.0965","-77.0846","15"
"38.8902","-77.0852","57"
"38.8626","-77.0872","90"
"38.8413","-77.0891","68"
"38.9817","-77.0952","52"
"39.0507","-77.1012","24"
"42.1705","-77.1019","4"
"38.8806","-77.1050","66"
"38.7720","-77.1405","68"
"39.0840","-77.1499","49"
"38.7752","-77.1581","84"
"39.8439","-77.1911","24"
"40.1905","-77.1966","39"
"39.1158","-77.1998","111"
"38.9177","-77.2213","128"
"38.8718","-77.2297","162"
"39.8318","-77.2311","3"
"38.9237","-77.2321","73"
"39.1217","-77.2369","68"
"42.8762","-77.2446","16"
"39.1842","-77.2638","139"
"38.8450","-77.2784","75"
"38.6273","-77.2877","41"
"38.6424","-77.2974","67"
"41.7491","-77.3001","1"
"38.8251","-77.3144","9"
"38.8591","-77.3589","226"
"35.5663","-77.3610","48"
"38.8673","-77.3675","46"
"34.7638","-77.3781","4"
"37.2538","-77.3946","25"
"38.9576","-77.3997","90"
"39.3743","-77.4128","139"
"34.7972","-77.4171","25"
"39.0292","-77.4242","88"
"38.8297","-77.4361","135"
"38.9119","-77.4455","3"
"43.0252","-77.4475","36"
"39.0524","-77.4544","130"
"37.6728","-77.4549","126"
"37.5672","-77.4669","1"
"37.5674","-77.4672","625"
"37.5521","-77.4777","33"
"39.0062","-77.4879","60"
"43.2020","-77.4940","77"
"38.2889","-77.5102","90"
"38.2953","-77.5157","49"
"39.0908","-77.5268","67"
"38.8020","-77.5299","26"
"38.9843","-77.5349","297"
"37.6376","-77.5450","72"
"37.5484","-77.5690","40"
"40.5968","-77.5753","1"
"39.9567","-77.5764","4"
"43.1395","-77.5961","2"
"43.1561","-77.5980","30"
"37.6533","-77.6140","272"
"38.8004","-77.6168","53"
"37.5063","-77.6178","82"
"43.0833","-77.6256","46"
"37.4191","-77.6289","140"
"43.1004","-77.6310","23"
"35.2634","-77.6513","5"
"42.3264","-77.6584","6"
"39.6843","-77.6674","30"
"43.2052","-77.6886","3"
"37.5138","-77.6893","131"
"42.9145","-77.7054","2"
"43.1428","-77.7159","165"
"39.6240","-77.7725","37"
"42.7956","-77.7941","3"
"40.8403","-77.8011","68"
"35.9671","-77.8050","13"
"34.2426","-77.8328","126"
"40.7937","-77.8623","2"
"34.2397","-77.8921","42"
"34.1799","-77.9167","266"
"40.8102","-77.9264","110"
"35.7249","-77.9362","7"
"35.4007","-77.9732","26"
"38.4724","-77.9965","20"
"33.9481","-78.0512","25"
"39.1633","-78.1631","40"
"38.9178","-78.1924","4"
"39.1191","-78.1945","47"
"35.5090","-78.3225","10"
"37.2946","-78.3763","11"
"40.4577","-78.4001","21"
"36.3328","-78.4314","12"
"42.0804","-78.4659","18"
"38.0309","-78.4825","135"
"38.0647","-78.4930","126"
"38.0119","-78.4995","147"
"38.8824","-78.5049","2"
"35.9422","-78.5423","149"
"35.6891","-78.5746","65"
"35.7787","-78.6050","102"
"35.7791","-78.6356","8"
"35.8379","-78.6385","126"
"42.8782","-78.6940","38"
"43.1046","-78.6968","8"
"42.9535","-78.6969","45"
"35.8721","-78.7162","188"
"35.7581","-78.7349","188"
"41.1144","-78.7460","9"
"42.9151","-78.7628","76"
"42.7911","-78.7662","102"
"33.7915","-78.7664","42"
"35.7393","-78.7760","19"
"35.9042","-78.7848","131"
"42.9931","-78.8045","40"
"42.7832","-78.8071","6"
"35.8037","-78.8090","147"
"42.9587","-78.8166","27"
"35.8073","-78.8175","29"
"39.6269","-78.8341","47"
"35.6671","-78.8437","74"
"40.2748","-78.8441","25"
"38.4302","-78.8528","57"
"42.9477","-78.8551","14"
"42.8912","-78.8720","33"
"42.9524","-78.8768","132"
"35.7451","-78.8828","74"
"35.8488","-78.8911","307"
"35.9981","-78.9017","25"
"36.0192","-78.9078","10"
"33.7010","-78.9240","66"
"38.0762","-78.9349","88"
"33.6703","-78.9409","105"
"35.9658","-78.9409","51"
"35.0775","-78.9439","1"
"35.9052","-78.9456","171"
"39.0830","-78.9580","1"
"40.3239","-78.9584","4"
"35.0793","-78.9653","43"
"35.0694","-78.9699","54"
"34.9797","-78.9741","59"
"36.3237","-78.9753","1"
"43.0867","-78.9935","7"
"34.6421","-78.9993","3"
"35.9277","-79.0272","94"
"35.9623","-79.0548","39"
"35.8809","-79.0665","17"
"38.1499","-79.0750","17"
"33.8554","-79.0916","30"
"41.8991","-79.1507","21"
"37.4058","-79.1724","11"
"37.3638","-79.1786","226"
"40.6067","-79.1818","14"
"35.4886","-79.1977","20"
"42.0985","-79.2985","9"
"42.4583","-79.3108","5"
"39.5038","-79.3272","16"
"42.0975","-79.3435","25"
"41.2050","-79.3670","4"
"40.2960","-79.3851","1"
"35.1736","-79.4209","33"
"36.5808","-79.4299","103"
"37.7843","-79.4436","9"
"40.2975","-79.5053","60"
"36.0697","-79.5107","151"
"40.6999","-79.7241","8"
"34.1766","-79.7653","1"
"35.7029","-79.7855","14"
"40.4284","-79.7953","62"
"40.5739","-79.7966","28"
"36.0861","-79.8075","88"
"32.8300","-79.8280","121"
"36.0875","-79.8358","101"
"34.1845","-79.8416","44"
"36.0372","-79.8437","49"
"36.0371","-79.8438","69"
"38.9312","-79.8638","7"
"40.4913","-79.8883","69"
"40.4066","-79.9184","219"
"40.4371","-79.9228","62"
"40.3484","-79.9319","92"
"40.8733","-79.9534","8"
"37.2996","-79.9548","84"
"40.4700","-79.9612","23"
"36.0349","-79.9615","97"
"37.2344","-79.9765","37"
"37.2654","-79.9770","13"
"32.7631","-79.9860","64"
"40.4428","-79.9985","14"
"39.6269","-79.9989","24"
"39.6526","-80.0004","16"
"40.4463","-80.0187","1"
"40.5699","-80.0189","107"
"32.8019","-80.0320","160"
"35.9934","-80.0323","41"
"37.2696","-80.0324","13"
"32.9404","-80.0439","131"
"40.3571","-80.0516","29"
"40.3434","-80.0541","34"
"26.7087","-80.0583","58"
"40.4677","-80.0671","2"
"26.4609","-80.0687","31"
"26.9367","-80.0803","53"
"42.0591","-80.0873","82"
"26.3534","-80.0882","25"
"26.8498","-80.0945","224"
"26.5367","-80.0961","93"
"26.2604","-80.1011","102"
"40.6828","-80.1053","70"
"40.3679","-80.1120","145"
"26.3768","-80.1127","273"
"26.1700","-80.1151","141"
"26.1369","-80.1214","29"
"25.9315","-80.1352","46"
"26.6198","-80.1359","15"
"26.1212","-80.1373","5"
"26.1150","-80.1383","2"
"25.7902","-80.1409","115"
"25.9557","-80.1417","101"
"26.2070","-80.1482","53"
"26.3159","-80.1591","29"
"32.9585","-80.1597","16"
"33.0368","-80.1604","57"
"26.0524","-80.1609","141"
"26.4556","-80.1627","53"
"26.6159","-80.1633","17"
"26.0366","-80.1647","39"
"35.3490","-80.1680","5"
"40.5404","-80.1822","6"
"26.2832","-80.1885","84"
